iter	Passed	Remaining
794	9060	2336
795	9073	2325
796	9084	2313
797	9095	2302
798	9105	2290
799	9118	2279
800	9131	2268
801	9173	2264
802	9200	2257
803	9223	2248
804	9236	2237
805	9248	2226
806	9260	2214
807	9270	2202
808	9283	2191
809	9298	2181
810	9310	2169
811	9318	2157
812	9330	2146
813	9343	2135
814	9352	2122
815	9363	2111
816	9376	2100
817	9386	2088
818	9397	2076
819	9409	2065
820	9419	2053
821	9430	2042
822	9443	2031
823	9457	2019
824	9466	2008
825	9478	1996
826	9488	1984
827	9498	1973
828	9510	1961
829	9521	1950
830	9530	1938
831	9542	1926
832	9551	1914
833	9562	1903
834	9575	1892
835	9585	1880
836	9595	1868
837	9608	1857
838	9620	1846
839	9629	1834
840	9641	1822
841	9653	1811
842	9662	1799
843	9674	1788
844	9685	1776
845	9694	1764
846	9706	1753
847	9719	1742
848	9728	1730
849	9740	1718
850	9752	1707
851	9762	1695
852	9773	1684
853	9787	1673
854	9799	1661
855	9810	1650
856	9822	1638
857	9833	1627
858	9843	1615
859	9854	1604
860	9871	1593
861	9880	1581
862	9892	1570
863	9902	1558
864	9916	1547
865	9929	1536
866	9940	1524
867	9954	1513
868	9967	1502
869	9981	1491
870	9993	1480
871	10004	1468
872	10018	1457
873	10031	1446
874	10041	1434
875	10052	1422
876	10066	1411
877	10080	1400
878	10091	1389
879	10101	1377
880	10115	1366
881	10128	1355
882	10137	1343
883	10149	1331
884	10163	1320
885	10175	1309
886	10185	1297
887	10197	1286
888	10210	1274
889	10219	1263
890	10231	1251
891	10244	1240
892	10259	1229
893	10269	1217
894	10281	1206
895	10295	1195
896	10307	1183
897	10316	1171
898	10328	1160
899	10342	1149
900	10352	1137
901	10363	1125
902	10375	1114
903	10388	1103
904	10397	1091
905	10410	1080
906	10423	1068
907	10431	1056
908	10442	1045
909	10453	1033
910	10461	1022
911	10471	1010
912	10479	998
913	10489	987
914	10498	975
915	10507	963
916	10515	951
917	10524	940
918	10533	928
919	10542	916
920	10552	905
921	10564	893
922	10576	882
923	10587	870
924	10601	859
925	10611	848
926	10625	836
927	10638	825
928	10653	814
929	10662	802
930	10672	790
931	10684	779
932	10693	767
933	10704	756
